,partido,partido_num,candidato,nick,followers,fecha,post,post_clean,sentimiento,sentimiento_num,negative,neutral,positive,video,foto,repost,retweet,who,viewed,comments,comments vs viewed,shared,shared vs viewed,likes,likes vs viewed,votos,porcentaje,escaños,Num_words_POST,sentimiento_clean
74,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-20,¡Mañana más!💪🇪🇸,!manana mas!,positive,2,0.39578542,0.11768767,0.48652682,False,True,True,False," @madrid_vox
",6777,5,0.000737789582411,42,0.0061974324922532,131,0.0193300870591707,245215,0.0731,11,2,manana mas
75,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-20,¡El lunes os espero en Parla para hablar de lo que de verdad importa con nuestro candidato Juan Marcos Manrique!,!el lunes os espero en parla para hablar de lo que de verdad importa con nuestro candidato juan marcos manrique!,positive,2,0.042853232,0.34469074,0.612456,False,True,False,False,False,13100,98,0.0074809160305343,132,0.0100763358778625,292,0.0222900763358778,245215,0.0731,11,20,lunes espero parla hablar verdad importa candidato juan marcos manrique
76,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-20,"¡Genial Leganés!! 
@BeaTejero
 y equipo buen trabajo!😘",!genial leganes!!    y equipo buen trabajo!,positive,2,0.012921678,0.009946611,0.97713166,False,True,False,False,False,12900,20,0.0015503875968992,175,0.0135658914728682,389,0.0301550387596899,245215,0.0731,11,6,genial leganes equipo buen trabajo
77,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-21,"En Leganés.

Nadie puede decir que no hablamos claro.

#VotaSeguro",en leganes.  nadie puede decir que no hablamos claro.  #votaseguro,negative,0,0.603088,0.25552434,0.14138764,False,True,True,False, @LeganesActivo,26400,60,0.0022727272727272,333,0.0126136363636363,750,0.0284090909090909,245215,0.0731,11,10,leganes nadie puede decir hablamos claro votaseguro
78,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-21,"¡Los cubanos no tienen dudas! 
@cocofarinas
 gracias por el apoyo😘

Estamos juntos.",!los cubanos no tienen dudas!    gracias por el apoyo  estamos juntos.,positive,2,0.043271594,0.026940525,0.92978793,False,True,False,False,False,9075,7,0.0007713498622589,122,0.0134435261707988,236,0.0260055096418732,245215,0.0731,11,11,cubanos dudas gracias apoyo juntos
79,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-21,"Extendamos las ayudas a la maternidad: ""Yo tengo cuatro niños y me miran como a un lince ibérico""","extendamos las ayudas a la maternidad: ""yo tengo cuatro ninos y me miran como a un lince iberico""",negative,0,0.6424619,0.21055172,0.14698638,False,True,True,False,https://www.europapress.es/,41400,123,0.0029710144927536,339,0.0081884057971014,936,0.0226086956521739,245215,0.0731,11,18,extendamos ayudas maternidad cuatro ninos miran lince iberico
80,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-21,"📺 Este domingo 21 de mayo a las 21:35, 
@monasterioR
 será entrevistada en 
@telemadrid
.

➡ Síguelo aquí en directo:
https://telemadrid.es/emision-en-directo/

¡No te lo pierdas!

🟢 #VotaSeguro 🇪🇦","este domingo 21 de mayo a las 21:35,    sera entrevistada en   .   siguelo aqui en directo:   !no te lo pierdas!   #votaseguro",neutral,1,0.008171186,0.86534256,0.12648633,False,True,False,True," @madrid_vox
",9306,8,0.0008596604341285,184,0.0197721899849559,367,0.0394369224156458,245215,0.0731,11,21,domingo 21 mayo 2135 sera entrevistada siguelo aqui directo pierdas votaseguro
81,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-21,"¿Por qué no tenemos derecho a explicar nuestras propuestas en libertad como los demás? 

¿por qué quieren que tengamos miedo? 

¿esto es una democracia?",?por que no tenemos derecho a explicar nuestras propuestas en libertad como los demas?   ?por que quieren que tengamos miedo?   ?esto es una democracia?,negative,0,0.9472296,0.037181277,0.015589118,False,True,True,False," @vox_es
",109300,365,0.0033394327538883,1263,0.011555352241537,2532,0.0231655992680695,245215,0.0731,11,24,derecho explicar propuestas libertad demas quieren miedo democracia
82,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-21,"📢 No te pierdas mañana lunes 22 de mayo:

📍Parla - #CuidaLoTuyo a las 11:30

📍 Alcorcón - #CuidaLoTuyo a las 20:00 junto a Jorge Buxadé 

📺 Y a las 21:45 no te pierdas el debate electoral con Javier Ortega Smith en Telemadrid

🟢 #VotaSeguro 🇪🇦",no te pierdas manana lunes 22 de mayo:  parla - #cuidalotuyo a las 11:30   alcorcon - #cuidalotuyo a las 20:00 junto a jorge buxade    y a las 21:45 no te pierdas el debate electoral con javier ortega smith en telemadrid   #votaseguro,neutral,1,0.222948,0.55128235,0.22576967,False,True,True,False," @madrid_vox
",12400,14,0.0011290322580645,139,0.0112096774193548,219,0.0176612903225806,245215,0.0731,11,41,pierdas manana lunes 22 mayo parla cuidalotuyo 1130 alcorcon cuidalotuyo 2000 junto jorge buxade 2145 pierdas debate electoral javier ortega smith telemadrid votaseguro
83,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-22,"📰 Entrevista a 
@monasterioR
 en 
@telemadrid


‼️""No sirve de nada ser negacionista de la inseguridad. Hay que reconocer el problema""

✅ ""Si llego al gobierno de la Comunidad, la okupación se acabará de forma fulminante""

#VotaSeguro #EntrevistaMonasterioTM","entrevista a    en     !!""no sirve de nada ser negacionista de la inseguridad. hay que reconocer el problema""   ""si llego al gobierno de la comunidad, la okupacion se acabara de forma fulminante""  #votaseguro #entrevistamonasteriotm",negative,0,0.81811184,0.1220814,0.059806824,False,False,False,True," @madrid_vox
",5738,1,0.0001742767514813,79,0.0137678633670268,118,0.0205646566747995,245215,0.0731,11,33,entrevista sirve ser negacionista inseguridad reconocer problema si llego gobierno comunidad okupacion acabara forma fulminante votaseguro entrevistamonasteriotm
84,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-22,"Los negacionistas de la inseguridad intentan esconder realidad.

Pero muchos madrileños lo viven a diario.

Aquí, los datos⬇️","los negacionistas de la inseguridad intentan esconder realidad.  pero muchos madrilenos lo viven a diario.  aqui, los datos",negative,0,0.90026873,0.08243465,0.017296642,False,True,True,False,https://www.vozpopuli.com/,55300,159,0.002875226039783,876,0.0158408679927667,1469,0.0265641952983725,245215,0.0731,11,18,negacionistas inseguridad intentan esconder realidad madrilenos viven diario aqui datos
85,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-22,"📰 
@monasterioR
 responde en 
@abc_madrid
 a..

""La pregunta indiscreta: 20 cosas que no sabías de Rocío Monasterio""

#VotaSeguro","responde en    a..  ""la pregunta indiscreta: 20 cosas que no sabias de rocio monasterio""  #votaseguro",neutral,1,0.09487152,0.8715406,0.033587825,False,True,False,True," @madrid_vox
",4657,2,0.0004294610264118,54,0.01159544771312,98,0.0210435902941808,245215,0.0731,11,15,responde pregunta indiscreta 20 cosas sabias rocio monasterio votaseguro
86,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-22,"📰Entrevista a 
@monasterioR
 en 
@voz_populi


‼️Madrid no es el infierno que pinta la izquierda, ni el paraíso de Ayuso

En 2021 dejamos manos libres a Ayuso, ¿en qué ha mejorado en Sanidad, Educación o Vivienda?

✅ VOX puede aportar soluciones

#VotaSeguro","entrevista a    en     !!madrid no es el infierno que pinta la izquierda, ni el paraiso de ayuso  en 2021 dejamos manos libres a ayuso, ?en que ha mejorado en sanidad, educacion o vivienda?   vox puede aportar soluciones  #votaseguro",negative,0,0.8896711,0.05107359,0.05925537,False,True,False,True," @madrid_vox
",8593,9,0.0010473641335971,265,0.0308390550448039,464,0.0539974397765623,245215,0.0731,11,38,entrevista madrid infierno pinta izquierda paraiso ayuso 2021 dejamos manos libres ayuso mejorado sanidad educacion vivienda vox puede aportar soluciones votaseguro
87,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-22,¡Hoy nos vemos en Alcorcón ! 😘,!hoy nos vemos en alcorcon !,positive,2,0.024713838,0.36678904,0.60849714,False,True,False,False,False,7146,18,0.0025188916876574,92,0.0128743352924713,194,0.0271480548558634,245215,0.0731,11,6,hoy vemos alcorcon
88,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-22,"No hay derecho. 

Este es el odio de la ultraizquierda que sólo sabe de violencia. 

No puede ser que en unas elecciones en España tengamos todos los días que lamentar sucesos como este. 

Mi más rotunda condena. Ánimo a 
@ppmostoles",no hay derecho.   este es el odio de la ultraizquierda que solo sabe de violencia.   no puede ser que en unas elecciones en espana tengamos todos los dias que lamentar sucesos como este.   mi mas rotunda condena. animo a,negative,0,0.9423887,0.034755625,0.022855677,False,True,False,False,False,43900,156,0.0035535307517084,761,0.0173348519362186,1650,0.0375854214123006,245215,0.0731,11,39,derecho odio ultraizquierda solo sabe violencia puede ser unas elecciones espana dias lamentar sucesos mas rotunda condena animo
89,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"📆 No te pierdas la agenda de 
@monasterioR
 en el martes 23 de mayo:

🎙️ 
@LasMananas_rne
 a las 9:00

📺 
@LaHoraTVE
 a las 9:20

🎙️ Crónica de Madrid en 
@rne
 a las 13:10

📺Entrevista en el Informativo Territorial de TVE a las 15:50

🟢 #VotaSeguro 🇪🇦",no te pierdas la agenda de    en el martes 23 de mayo:      a las 9:00      a las 9:20   cronica de madrid en    a las 13:10  entrevista en el informativo territorial de tve a las 15:50   #votaseguro,neutral,1,0.0118545685,0.9747216,0.0134238675,False,True,False,True," @madrid_vox
",5552,8,0.0014409221902017,100,0.0180115273775216,144,0.0259365994236311,245215,0.0731,11,36,pierdas agenda martes 23 mayo 900 920 cronica madrid 1310 entrevista informativo territorial tve 1550 votaseguro
90,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"Tu hijo va de excursión con el colegio y vuelve con la cara reventada porque se cruza con dos Menas. 
¡No hay derecho! ¡Basta! 
#Batán",tu hijo va de excursion con el colegio y vuelve con la cara reventada porque se cruza con dos menas.  !no hay derecho! !basta!  #batan,negative,0,0.9370194,0.040723342,0.022257337,False,True,True,False,https://www.elmundo.es/,257400,395,0.0015345765345765,255,0.0009906759906759,4485,0.0174242424242424,245215,0.0731,11,25,hijo va excursion colegio vuelve cara reventada cruza dos menas derecho basta batan
91,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"Todos los partidos menos Vox son negacionistas de la inseguridad. https://20minutos.es/noticia/5130358/0/rocio-monasterio-todos-los-partidos-menos-vox-son-negacionistas-de-la-inseguridad/?utm_source=twitter.com&utm_medium=socialshare&utm_campaign=mobile_web vía 
@20m",todos los partidos menos vox son negacionistas de la inseguridad.  via,negative,0,0.91273355,0.0649027,0.022363773,False,True,True,False, @20m,20500,97,0.0047317073170731,400,0.0195121951219512,930,0.0453658536585365,245215,0.0731,11,11,partidos menos vox negacionistas inseguridad via
92,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"📰 Entrevista a 
@monasterioR
 en 
@infobae
:

‼️""Ayuso ha roto con nosotros, de nada sirve tener un Gobierno que no es de izquierdas si mantienes leyes de izquierdas""

✅ Rocío explica los proyectos centrales del programa:
https://infobae.com/espana/2023/05/23/rocio-monasterio-ayuso-ha-roto-con-nosotros-de-nada-sirve-tener-un-gobierno-que-no-es-de-izquierdas-si-mantienes-leyes-de-izquierdas/

#VotaSeguro","entrevista a    en   :  !!""ayuso ha roto con nosotros, de nada sirve tener un gobierno que no es de izquierdas si mantienes leyes de izquierdas""   rocio explica los proyectos centrales del programa:   #votaseguro",negative,0,0.899833,0.065552786,0.03461411,False,True,False,True," @madrid_vox
",5794,6,0.0010355540214014,123,0.0212288574387297,204,0.0352088367276492,245215,0.0731,11,33,entrevista ayuso roto sirve tener gobierno izquierdas si mantienes leyes izquierdas rocio explica proyectos centrales programa votaseguro
93,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"Las noticias del día.
Los negacionistas de la inseguridad callan lo que los barrios gritan cada noche.
Nosotros les daremos voz.
#VotaSeguro",las noticias del dia. los negacionistas de la inseguridad callan lo que los barrios gritan cada noche. nosotros les daremos voz. #votaseguro,negative,0,0.9243905,0.043796312,0.03181325,False,True,False,False,False,15500,36,0.0023225806451612,353,0.022774193548387,544,0.0350967741935483,245215,0.0731,11,22,noticias dia negacionistas inseguridad callan barrios gritan cada noche daremos voz votaseguro
94,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,¡Me apunto!⬇️♥️♥️,!me apunto!,positive,2,0.0045076534,0.023955852,0.9715366,False,True,True,False," @juan_ggallardo
",12200,51,0.0041803278688524,203,0.016639344262295,473,0.0387704918032786,245215,0.0731,11,2,apunto
95,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"Los madrileños destinan el 57% de su salario al pago del alquiler, que no para de subir.

Pero las ayudas se las llevan siempre los mismos.

El 28 de mayo, #VotaSeguro","los madrilenos destinan el 57% de su salario al pago del alquiler, que no para de subir.  pero las ayudas se las llevan siempre los mismos.  el 28 de mayo, #votaseguro",negative,0,0.9314253,0.048244044,0.020330658,False,True,False,True," @madrid_vox
",33500,43,0.0012835820895522,230,0.006865671641791,381,0.0113731343283582,245215,0.0731,11,31,madrilenos destinan 57 salario pago alquiler subir ayudas llevan siempre mismos 28 mayo votaseguro
96,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"Gracias 
@monasterioR
 
Gracias 
@Jorgebuxade
 
Gracias EQUIPO! 

#Alcorcon #VotaVOX #CuidaAlcorcon #CuidaLoTuyo.",gracias     gracias     gracias equipo!   #alcorcon #votavox #cuidaalcorcon #cuidalotuyo.,positive,2,0.008135336,0.010122263,0.98174244,False,False,False,True," @PedroMorenoGmz
",4227,9,0.0021291696238466,69,0.0163236337828246,108,0.0255500354861604,245215,0.0731,11,8,gracias gracias gracias equipo alcorcon votavox cuidaalcorcon cuidalotuyo
97,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,¿Y tú cuándo?,?y tu cuando?,neutral,1,0.25682703,0.70277256,0.040400468,False,True,True,False," @vox_es
",47500,109,0.0022947368421052,351,0.0073894736842105,884,0.0186105263157894,245215,0.0731,11,3,
98,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"No lo pregunto yo.

Lo preguntan las familias y jóvenes que no llegan a fin de mes y no reciben ninguna ayuda de alquiler, de comedor o de guardería.

Todos los días la misma frase:

""Siempre se las llevan los mismos""","no lo pregunto yo.  lo preguntan las familias y jovenes que no llegan a fin de mes y no reciben ninguna ayuda de alquiler, de comedor o de guarderia.  todos los dias la misma frase:  ""siempre se las llevan los mismos""",negative,0,0.92154473,0.063502446,0.014952863,False,True,True,False,https://www.europapress.es/,30200,191,0.0063245033112582,650,0.021523178807947,1377,0.0455960264900662,245215,0.0731,11,41,pregunto preguntan familias jovenes llegan fin mes reciben ninguna ayuda alquiler comedor guarderia dias misma frase siempre llevan mismos
99,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,Sí,si,neutral,1,0.30619854,0.42782772,0.26597375,False,True,False,True," @ivanedlm
",30700,35,0.0011400651465798,348,0.0113355048859934,1280,0.0416938110749185,245215,0.0731,11,1,si
100,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"La fractura del feminismo se ha evidenciado a lo largo de la tramitación de la Ley trans. Antes de eso, las comunidades aprobaron leyes trans, como Madrid en 2016 con el gobierno del PP, apoyada por Podemos, Cs y PSOE.

Presentamos un nuevo informe","la fractura del feminismo se ha evidenciado a lo largo de la tramitacion de la ley trans. antes de eso, las comunidades aprobaron leyes trans, como madrid en 2016 con el gobierno del pp, apoyada por podemos, cs y psoe.  presentamos un nuevo informe",negative,0,0.84892577,0.091273725,0.059800502,False,True,False,True," @FDisenso
",11000,8,0.0007272727272727,85,0.0077272727272727,114,0.0103636363636363,245215,0.0731,11,44,fractura feminismo evidenciado largo tramitacion ley trans comunidades aprobaron leyes trans madrid 2016 gobierno pp apoyada podemos cs psoe presentamos nuevo informe
101,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-23,"Los mismos vecinos que nos dicen que las ayudas se las llevan siempre  los mismos también nos cuentan que sus hijas pasan más miedo en la calle desde que empezaste a hacer leyes para soltar violadores.

Y eso sí que tiene relación directa con las agresiones sexuales.",los mismos vecinos que nos dicen que las ayudas se las llevan siempre  los mismos tambien nos cuentan que sus hijas pasan mas miedo en la calle desde que empezaste a hacer leyes para soltar violadores.  y eso si que tiene relacion directa con las agresiones sexuales.,negative,0,0.9405607,0.045634724,0.013804517,False,True,True,False," @IreneMontero
",60700,124,0.0020428336079077,721,0.0118780889621087,1499,0.0246952224052718,245215,0.0731,11,47,mismos vecinos dicen ayudas llevan siempre mismos tambien cuentan hijas pasan mas miedo calle empezaste hacer leyes soltar violadores si relacion directa agresiones sexuales
102,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-24,"Es maravilloso escuchar a los progres de la SER, que han promocionado el aborto, el ataque a la familia y promovido un feminismo radical, hoy lamentándose de las consecuencias de su política: soledad, falta de natalidad y vacío.","es maravilloso escuchar a los progres de la ser, que han promocionado el aborto, el ataque a la familia y promovido un feminismo radical, hoy lamentandose de las consecuencias de su politica: soledad, falta de natalidad y vacio.",negative,0,0.65314054,0.10400231,0.2428572,False,False,False,False,False,46900,238,0.0050746268656716,745,0.0158848614072494,1663,0.03545842217484,245215,0.0731,11,38,maravilloso escuchar progres ser promocionado aborto ataque familia promovido feminismo radical hoy lamentandose consecuencias politica soledad falta natalidad vacio
103,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-24,"Dice 
@IdiazAyuso
 en 
@Gato_directo
 que ella ""no tiene competencias para declarar BIC el Valle de los Caídos""; respuesta que le da a Javier Esparza cuando le pregunta el porqué no lo hizo.

Miente.","dice    en    que ella ""no tiene competencias para declarar bic el valle de los caidos""; respuesta que le da a javier esparza cuando le pregunta el porque no lo hizo.  miente.",negative,0,0.9386954,0.044414785,0.016889771,False,True,False,True," @paularguez
",13300,26,0.0019548872180451,161,0.0121052631578947,273,0.0205263157894736,245215,0.0731,11,31,dice competencias declarar bic valle caidos respuesta da javier esparza pregunta hizo miente
104,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-24,"En es el Madrid real, que no es el Madrid de los progres urbanitas ecologetas…","en es el madrid real, que no es el madrid de los progres urbanitas ecologetas...",negative,0,0.81356555,0.10778797,0.07864648,False,True,True,False,https://okdiario.com/,24700,81,0.0032793522267206,356,0.014412955465587,758,0.0306882591093117,245215,0.0731,11,15,madrid real madrid progres urbanitas ecologetas
105,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-24,"Esta noche nos vemos en 
@Lanoche_24h
 😘",esta noche nos vemos en,neutral,1,0.030773522,0.868914,0.10031243,False,True,False,False,False,6703,25,0.0037296732806206,119,0.0177532448157541,245,0.036550798150082,245215,0.0731,11,5,noche vemos
106,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-24,"Mañana⬇️
¡seguimos!",manana !seguimos!,positive,2,0.008802909,0.01104593,0.9801512,False,True,False,False,False,5648,7,0.0012393767705382,80,0.0141643059490084,159,0.0281515580736543,245215,0.0731,11,2,manana seguimos
107,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-24,"Esta noche, debate de candidatos en TVE y Canal 24h.

Podéis comentarlo en redes con el HT #DebateMadridRTVE

¡Cuento con vosotros!","esta noche, debate de candidatos en tve y canal 24h.  podeis comentarlo en redes con el ht #debatemadridrtve  !cuento con vosotros!",neutral,1,0.013823036,0.7732267,0.21295026,False,True,False,False,False,14800,67,0.004527027027027,240,0.0162162162162162,504,0.034054054054054,245215,0.0731,11,21,noche debate candidatos tve canal 24h podeis comentarlo redes ht debatemadridrtve cuento
108,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"No lo decimos nosotros, lo dicen los madrileños y está en los datos.
Aquí puedes descargarte la lista completa (antes de que la borren)
⬇️","no lo decimos nosotros, lo dicen los madrilenos y esta en los datos. aqui puedes descargarte la lista completa (antes de que la borren)",negative,0,0.53349817,0.43509993,0.03140193,False,True,False,True," @madrid_vox
",24400,29,0.0011885245901639,348,0.0142622950819672,574,0.0235245901639344,245215,0.0731,11,24,decimos dicen madrilenos datos aqui puedes descargarte lista completa borren
109,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"""Mientras ustedes hablan del fin del mundo, los madrileños no llegan a final de mes"". Rocío Monasterio.

La mejor frase que he escuchado en mucho tiempo.","""mientras ustedes hablan del fin del mundo, los madrilenos no llegan a final de mes"". rocio monasterio.  la mejor frase que he escuchado en mucho tiempo.",positive,2,0.38017023,0.15382484,0.46600488,False,False,False,True," @dsantosfacher
",26300,44,0.0016730038022813,418,0.015893536121673,1257,0.0477946768060836,245215,0.0731,11,26,mientras ustedes hablan fin mundo madrilenos llegan final mes rocio monasterio mejor frase escuchado tiempo
110,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,¡Esta noche nos vemos!,!esta noche nos vemos!,positive,2,0.0071342136,0.11038768,0.88247806,False,True,False,False,False,6908,31,0.0044875506658946,75,0.0108569774174869,144,0.0208453966415749,245215,0.0731,11,4,noche vemos
111,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"Replying to 
@monasterioR
 and 
@VAlegrame
EN MI FAMILIA VOTAMOS SEGUROS",replying to    and   en mi familia votamos seguros,positive,2,0.02795116,0.21357583,0.758473,False,True,False,True," @canuterio96
",2766,9,0.0032537960954446,23,0.0083152566883586,58,0.0209689081706435,245215,0.0731,11,8,replying to and familia votamos seguros
112,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"📺 Este jueves 25 de mayo a las 22:45, no te pierdas a 
@monasterioR
 en 
@Gato_directo
 de 
@eltorotv
.

📡 Síguelo también en directo: http://eltorotv.com

🟢 #CuidaLoTuyo #VotaSeguro 🇪🇦","este jueves 25 de mayo a las 22:45, no te pierdas a    en    de   .   siguelo tambien en directo:    #cuidalotuyo #votaseguro",neutral,1,0.009154882,0.9201535,0.07069161,False,True,False,True," @madrid_vox
",6151,7,0.0011380263371809,144,0.0234108275077223,242,0.0393431962282555,245215,0.0731,11,21,jueves 25 mayo 2245 pierdas siguelo tambien directo cuidalotuyo votaseguro
113,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,Esta mañana en Las Rozas. Hace falta terminar la M50 y no colapsar toda la zona con desarrollos urbanísticos que no tienen en cuenta a los vecinos y necesidad de dotaciones.,esta manana en las rozas. hace falta terminar la m50 y no colapsar toda la zona con desarrollos urbanisticos que no tienen en cuenta a los vecinos y necesidad de dotaciones.,negative,0,0.85048896,0.083771504,0.06573947,False,True,False,False,False,5135,12,0.0023369036027263,81,0.0157740993184031,161,0.0313534566699123,245215,0.0731,11,31,manana rozas hace falta terminar m50 colapsar toda zona desarrollos urbanisticos cuenta vecinos necesidad dotaciones
114,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"El 28 de mayo toca poner poner pie en pared.

O ellos o nosotros.

""Asaltan y agreden a otras dos mujeres en los pasos subterráneos de Batán en Madrid y atacan a los vigilantes del Metro""

#VotaSeguro","el 28 de mayo toca poner poner pie en pared.  o ellos o nosotros.  ""asaltan y agreden a otras dos mujeres en los pasos subterraneos de batan en madrid y atacan a los vigilantes del metro""  #votaseguro",negative,0,0.9560116,0.03068284,0.013305578,False,True,True,False,https://www.elmundo.es/,237000,119,0.0005021097046413,523,0.0022067510548523,792,0.0033417721518987,245215,0.0731,11,37,28 mayo toca poner poner pie pared asaltan agreden dos mujeres pasos subterraneos batan madrid atacan vigilantes metro votaseguro
115,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"🏥 
@monasterioR
 en el #DebateMadridRTVE

‼️En el peor momento de la pandemia no pudimos transferir enfermos a hospitales de otra comunidad que tenían camas libres

✅ Es necesaria una única tarjeta sanitaria para España, no una por comunidad autónoma #VotaSeguro #SoloQuedaVOX","en el #debatemadridrtve  !!en el peor momento de la pandemia no pudimos transferir enfermos a hospitales de otra comunidad que tenian camas libres   es necesaria una unica tarjeta sanitaria para espana, no una por comunidad autonoma #votaseguro #soloquedavox",negative,0,0.8036771,0.09984687,0.09647602,False,True,False,True," @vzlanosmadvox
",3256,5,0.0015356265356265,40,0.0122850122850122,61,0.0187346437346437,245215,0.0731,11,38,debatemadridrtve peor momento pandemia pudimos transferir enfermos hospitales comunidad tenian camas libres necesaria unica tarjeta sanitaria espana comunidad autonoma votaseguro soloquedavox
116,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"Lo que decimos nosotros es lo que vemos a diario en todos los barrios de Madrid.

Gracias 
@cakealatake
 por acompañarnos a Lavapiés para mostrar la realidad.

#VotaSeguro",lo que decimos nosotros es lo que vemos a diario en todos los barrios de madrid.  gracias    por acompanarnos a lavapies para mostrar la realidad.  #votaseguro,positive,2,0.16971464,0.10760135,0.722684,False,False,True,False," @cakealatake
 ",13200,19,0.0014393939393939,108,0.0081818181818181,209,0.0158333333333333,245215,0.0731,11,26,decimos vemos diario barrios madrid gracias acompanarnos lavapies mostrar realidad votaseguro
117,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"📰 
@monasterioR
 a 
@TheObjective_es


✅ Hay mucho votante de izquierdas que está huérfano y va a votar a VOX 

""La izquierda ha abandonado a los trabajadores. La izquierda está dedicada al género, al cambio climático, al indigenismo…""

🟢 #VotaSeguro 🇪🇦","a      hay mucho votante de izquierdas que esta huerfano y va a votar a vox   ""la izquierda ha abandonado a los trabajadores. la izquierda esta dedicada al genero, al cambio climatico, al indigenismo...""   #votaseguro",negative,0,0.93721735,0.041144032,0.02163858,False,True,False,True," @madrid_vox
",13100,30,0.0022900763358778,397,0.0303053435114503,901,0.0687786259541984,245215,0.0731,11,34,votante izquierdas huerfano va votar vox izquierda abandonado trabajadores izquierda dedicada genero cambio climatico indigenismo votaseguro
118,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"Lo que decimos nosotros es lo que vemos a diario en todos los barrios de Madrid.

Gracias 
@cakealatake
 por acompañarnos a Lavapiés para mostrar la realidad.

#VotaSeguro",lo que decimos nosotros es lo que vemos a diario en todos los barrios de madrid.  gracias    por acompanarnos a lavapies para mostrar la realidad.  #votaseguro,positive,2,0.16971464,0.10760135,0.722684,False,False,False,True," @monasterioR
",13200,19,0.0014393939393939,108,0.0081818181818181,209,0.0158333333333333,245215,0.0731,11,26,decimos vemos diario barrios madrid gracias acompanarnos lavapies mostrar realidad votaseguro
119,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,"‼️ Compra de votos: VOX pide investigar al PSOE y Marruecos en el Parlamento Europeo.

🗣️ 
@Jorgebuxade
 denuncia el nuevo caso en Mojácar y pide investigar ""lo que parece una trama a nivel nacional"".","!! compra de votos: vox pide investigar al psoe y marruecos en el parlamento europeo.      denuncia el nuevo caso en mojacar y pide investigar ""lo que parece una trama a nivel nacional"".",negative,0,0.9264199,0.05788552,0.015694581,False,True,False,True," @vox_es
",65100,129,0.0019815668202764,1486,0.022826420890937,3045,0.0467741935483871,245215,0.0731,11,32,compra votos vox pide investigar psoe marruecos parlamento europeo denuncia nuevo caso mojacar pide investigar parece trama nivel nacional
120,vox,1,Rocío Monasterio, @monasterioR,339700,2023-05-25,Mañana viernes os esperamos a las 20:00h en C/Camarena 10. 😘😘,manana viernes os esperamos a las 20:00h en c/camarena 10.,neutral,1,0.020620806,0.8886443,0.09073498,False,True,False,False,False,7651,23,0.0030061429878447,127,0.0165991373676643,255,0.0333289766043654,245215,0.0731,11,10,manana viernes esperamos 2000h ccamarena 10
